Input Length | Min V1 Output | Max V1 Output | V1 varies | Min V2 Output | Max V2 Output | V2 varies
-------------|---------------|---------------|-----------|---------------|---------------|----------
           1 |            26 |            26 | true |            26 |            26 |true
           2 |            26 |            26 | true |            26 |            26 |true
           3 |            26 |            26 | true |            26 |            26 |true
           4 |            26 |            26 | true |            26 |            26 |true
           5 |            26 |            26 | true |            26 |            26 |true
           6 |            26 |            26 | true |            26 |            26 |true
           7 |            26 |            26 | true |            26 |            26 |true
           8 |            26 |            26 | true |            26 |            26 |true
           9 |            26 |            26 | true |            26 |            26 |true
          10 |            26 |            26 | true |            26 |            26 |true
          11 |            26 |            26 | true |            26 |            26 |true
          12 |            26 |            26 | true |            26 |            26 |true
          13 |            26 |            26 | true |            26 |            26 |true
          14 |            26 |            26 | true |            26 |            26 |true
          15 |            26 |            26 | true |            52 |            52 |true
          16 |            26 |            26 | true |            52 |            52 |true
          17 |            52 |            52 | true |            52 |            52 |true
          18 |            52 |            52 | true |            52 |            52 |true
          19 |            52 |            52 | true |            52 |            52 |true
          20 |            52 |            52 | true |            52 |            52 |true
          21 |            52 |            52 | true |            52 |            52 |true
          22 |            52 |            52 | true |            52 |            52 |true
          23 |            52 |            52 | true |            52 |            52 |true
          24 |            52 |            52 | true |            52 |            52 |true
          25 |            52 |            52 | true |            52 |            52 |true
          26 |            52 |            52 | true |            52 |            52 |true
          27 |            52 |            52 | true |            52 |            52 |true
          28 |            52 |            52 | true |            52 |            52 |true
          29 |            52 |            52 | true |            52 |            52 |true
          30 |            52 |            52 | true |            52 |            52 |true
          31 |            52 |            52 | true |            77 |            77 |true
          32 |            52 |            52 | true |            77 |            77 |true
          33 |            77 |            77 | true |            77 |            77 |true
          34 |            77 |            77 | true |            77 |            77 |true
          35 |            77 |            77 | true |            77 |            77 |true
          36 |            77 |            77 | true |            77 |            77 |true
          37 |            77 |            77 | true |            77 |            77 |true
          38 |            77 |            77 | true |            77 |            77 |true
          39 |            77 |            77 | true |            77 |            77 |true
          40 |            77 |            77 | true |            77 |            77 |true
          41 |            77 |            77 | true |            77 |            77 |true
          42 |            77 |            77 | true |            77 |            77 |true
          43 |            77 |            77 | true |            77 |            77 |true
          44 |            77 |            77 | true |            77 |            77 |true
          45 |            77 |            77 | true |            77 |            77 |true
          46 |            77 |            77 | true |            77 |            77 |true
          47 |            77 |            77 | true |           103 |           103 |true
          48 |            77 |            77 | true |           103 |           103 |true
          49 |           103 |           103 | true |           103 |           103 |true
          50 |           103 |           103 | true |           103 |           103 |true
          51 |           103 |           103 | true |           103 |           103 |true
          52 |           103 |           103 | true |           103 |           103 |true
          53 |           103 |           103 | true |           103 |           103 |true
          54 |           103 |           103 | true |           103 |           103 |true
          55 |           103 |           103 | true |           103 |           103 |true
          56 |           103 |           103 | true |           103 |           103 |true
          57 |           103 |           103 | true |           103 |           103 |true
          58 |           103 |           103 | true |           103 |           103 |true
          59 |           103 |           103 | true |           103 |           103 |true
          60 |           103 |           103 | true |           103 |           103 |true
          61 |           103 |           103 | true |           103 |           103 |true
          62 |           103 |           103 | true |           103 |           103 |true
          63 |           103 |           103 | true |           128 |           128 |true
          64 |           103 |           103 | true |           128 |           128 |true
          65 |           128 |           128 | true |           128 |           128 |true
          66 |           128 |           128 | true |           128 |           128 |true
          67 |           128 |           128 | true |           128 |           128 |true
          68 |           128 |           128 | true |           128 |           128 |true
          69 |           128 |           128 | true |           128 |           128 |true
          70 |           128 |           128 | true |           128 |           128 |true
          71 |           128 |           128 | true |           128 |           128 |true
          72 |           128 |           128 | true |           128 |           128 |true
          73 |           128 |           128 | true |           128 |           128 |true
          74 |           128 |           128 | true |           128 |           128 |true
          75 |           128 |           128 | true |           128 |           128 |true
          76 |           128 |           128 | true |           128 |           128 |true
          77 |           128 |           128 | true |           128 |           128 |true
          78 |           128 |           128 | true |           128 |           128 |true
          79 |           128 |           128 | true |           154 |           154 |true
          80 |           128 |           128 | true |           154 |           154 |true
          81 |           154 |           154 | true |           154 |           154 |true
          82 |           154 |           154 | true |           154 |           154 |true
          83 |           154 |           154 | true |           154 |           154 |true
          84 |           154 |           154 | true |           154 |           154 |true
          85 |           154 |           154 | true |           154 |           154 |true
          86 |           154 |           154 | true |           154 |           154 |true
          87 |           154 |           154 | true |           154 |           154 |true
          88 |           154 |           154 | true |           154 |           154 |true
          89 |           154 |           154 | true |           154 |           154 |true
          90 |           154 |           154 | true |           154 |           154 |true
          91 |           154 |           154 | true |           154 |           154 |true
          92 |           154 |           154 | true |           154 |           154 |true
          93 |           154 |           154 | true |           154 |           154 |true
          94 |           154 |           154 | true |           154 |           154 |true
          95 |           154 |           154 | true |           180 |           180 |true
          96 |           154 |           154 | true |           180 |           180 |true
          97 |           180 |           180 | true |           180 |           180 |true
          98 |           180 |           180 | true |           180 |           180 |true
          99 |           180 |           180 | true |           180 |           180 |true
         100 |           180 |           180 | true |           180 |           180 |true
